Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Brunei Darussalam,BRN,46.28,43.73,43.16,52.17,51.35,49.73,43.16,39.72,38.45,36.5,33.79,30.95,30.37,33.04,24.36,14.9,17.88,18.73,18.41,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Bulgaria,BGR,4891.96,5169.64,5238.95,5248.01,5524.2,5794.62,5818.26,5910.47,6008.53,6123.31,6148.16,6252.04,6241.14,6303.58,6118.66,5952.8,5909.01,5761.1,5679.26,5900,5600,4860,3780,3040,2810,2840,2600,2620,2760,2730,2540,2230,2360,2400,2310,2180,2230,2130,2010,1890,1900,1900,1790,1900,1860,1840,1830,1780,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Burkina Faso,BFA,3153.31,2938.56,2834.77,2625.42,2750.43,2869.38,3056.67,2999.58,3218.69,3546.51,3466.8,3710.44,3697.82,3799.38,4173.96,4276.65,4421.69,4466.75,4669.22,6210,6410,6570,6700,6870,7090,7100,7390,7440,7590,8140,7800,8100,10090,10380,10660,10540,10770,11110,11490,12030,12240,12260,12600,12860,13010,13670,13850,13820,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Burundi,BDI,604.85,643.48,674.02,683.74,705.14,701.04,705.38,706.04,722.32,576.9,455.76,452.84,452.02,467.7,423.7,506.79,484.56,490.16,490.31,600,610,610,590,540,550,540,560,500,500,510,530,510,530,560,590,640,680,740,810,910,990,990,1190,1150,1140,1310,1580,1580,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cabo Verde,CPV,19.73,21.24,19.22,17.57,16.78,17.47,18.05,18.97,19.7,20.9,22.38,25.06,19.87,19.22,21.82,24.7,27.65,33.85,36.73,40,40,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,60,60,50,50,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cambodia,KHM,14355.44,11743.54,8893.04,6262.22,7555.44,7390.63,7741.73,7906.16,6183.39,9971.16,9159.98,11008.85,12692.27,8164.99,10265.5,11019.85,11051.31,12660.66,12351.39,11990,11580,11880,12560,11320,13150,13150,13280,13200,14030,13170,13150,13350,14500,14190,15360,16240,16530,16710,17120,17290,18050,17500,17340,16970,16680,17080,17330,17100,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cameroon,CMR,4621.75,4440.48,4700.77,3864.73,4273.39,4541.73,5346.72,4813.28,5162.35,6507.93,5684.88,6056.63,5559.91,5609.93,5668.71,5875.29,6143.18,5987.94,6515.57,6050,6020,6040,6040,6050,6020,6110,6310,6830,7070,7870,7400,7300,7990,7240,8010,7470,7370,6790,6510,6790,6670,6890,7150,7080,7250,7240,7130,7160,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Canada,CAN,19006.93,19188.44,19375.14,19758.2,20180.54,20023.53,19571.73,18934.7,18759.47,19458.83,19582.5,19578.52,19108.02,18942.94,18624.97,18143.76,17903.56,18311.23,18690.49,23860,23770,24490,24320,24420,25680,26610,26510,27450,26530,26240,26920,27740,27290,28820,29120,28830,27650,26670,25400,25290,24460,24610,25190,24810,24060,23780,24150,24230,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cayman Islands,CYM,4.63,4.73,4.87,5.13,5.23,5.52,5.75,5.89,5.96,6.22,6.47,6.58,10.01,2.62,2.61,2.76,2.54,2.16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Central African Republic,CAF,21364.32,20833.05,23722.67,15156.35,17464.88,18645.76,24489.36,18260.47,21446.48,30172.67,22157.62,28008.84,24744.74,24106.74,20135.84,20785,22526.25,19712,23247.61,8360,8550,8560,8570,8640,8710,9680,9780,10730,9620,11050,9220,8160,10630,9390,9910,9990,10220,10760,8600,9630,10330,8940,9560,9340,9490,10400,9690,9890,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Chad,TCD,7106.15,7347.12,7215.27,5294.97,5692.75,5962.19,6931.88,6379.31,6851.49,8001.99,7073.07,7875.97,7420.79,6498.07,6010.53,6272.82,6704.02,6585.97,7250.15,7970,12210,12740,13290,13880,14550,16110,16600,17150,18310,19860,18470,19860,21060,22080,23420,24290,25710,26780,27690,29400,31090,32810,34410,36070,39370,42090,43840,45560,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Chile,CHL,5309.08,5709.68,5565.92,5956.35,6176.08,5936.78,6073.73,6190.23,6443.57,6587.85,6728.95,6713.52,6603.35,6395.38,5712.09,5748.41,5950.47,6061.86,5993.98,6370,6440,6600,6820,7060,7180,7270,7500,7600,7520,7430,7280,7140,7050,7070,7000,6850,6580,6650,6700,6680,6630,6690,5520,5550,5030,5120,5160,5470,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,China,CHN,578240.51,581221.82,575909.06,578656.52,576549.01,578669.83,562640.86,543622.88,533248.03,530829.98,518891.54,513074.92,513363.91,509024.04,495018.21,501386.94,504941.8,504630.34,516974.21,336950,341210,341330,338760,346380,366270,386770,349740,366920,373880,372890,362550,353360,344470,353350,356420,354810,345700,350410,348440,346060,341020,338530,337580,337910,341350,342280,335560,331360,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Colombia,COL,28401.34,29365.25,29919.49,31144.82,32199.89,33038.84,33555.99,34557.8,34380.39,34275.25,34667.63,35249.62,34308.96,32920.76,32861.03,33155.51,34112.08,34691.72,35854.52,41850,41440,42030,42690,43380,43390,43910,43250,43550,41790,42190,42960,42970,43820,44350,44490,44230,45380,45530,45290,46280,43100,40340,39700,39070,38880,39460,41960,43990,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Comoros,COM,95.09,95.79,97.12,99.38,99.6,102.28,103.32,104.62,107.1,105.31,103.41,100.97,97.61,98.89,94.46,92.22,89.17,89.89,91.19,150,150,160,160,160,160,160,170,170,170,150,160,170,160,160,170,180,160,180,190,200,210,220,220,230,240,240,240,240,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Congo, Dem. Rep.",COD,13470.91,15364.44,17265.78,13485.86,18238.75,14939.61,18732.08,20150.95,30088.85,22537.1,17826.08,21630.82,21180.61,13149.92,13828,12880.18,22858,12041.8,15406.62,12380,12260,12340,12260,12210,12120,9580,9390,9770,8900,8710,9490,11860,12950,13800,13570,13750,12100,12800,12670,13110,12340,12420,13110,12840,13300,13170,13660,12890,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Congo, Rep.",COG,1434.72,1516.98,1587.34,1541.69,1654.24,1590.5,1670.75,1691.72,1906.97,1740.91,1664.77,1773.18,1783.51,1631.92,1687.93,1738.64,2032.72,1873.2,2030.05,980,980,980,990,990,990,410,440,460,470,380,450,690,1100,1180,1400,1450,1330,1340,1260,1470,1500,1420,1490,1280,1460,1480,1460,1510,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Costa Rica,CRI,2322.8,2413.51,2683.01,2718.08,2803.34,2824.48,2888.09,3001.32,3140.99,3153.9,3327.25,3340.74,3411.33,3493.95,3344.1,3311.83,3282.29,3192.85,3112.94,3390,3360,3310,3300,2980,2630,2550,2490,2500,2370,2280,2190,2090,2000,1910,2000,1940,2110,2240,2270,2280,2370,2280,2330,2320,2330,2480,2510,2420,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cote d'Ivoire,CIV,1207.57,1214.92,1280.41,1176.16,1308.59,1365.24,1503.96,1443.46,1529.98,1593.97,1454.25,1604.78,1583.83,1631.91,1613.72,1701.57,1749.53,1764.83,1883.52,2700,2780,2840,2750,2870,2930,2660,2710,2710,2680,2770,3040,3350,3300,2640,3430,3290,3320,3120,3030,2970,3120,3250,3500,3070,3160,3680,3210,3120,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Croatia,HRV,1835.65,1817.91,1874.78,1995.59,2050.97,2016.44,1990.08,1994.7,1976.45,1964.71,1982.67,1987.55,1954.81,1972.82,1925.1,1859.94,1882.05,1832.44,1778.85,2340,2270,2080,1990,1900,1780,1680,1660,1620,1660,1590,1610,1600,1610,1710,1680,1720,1670,1560,1560,1490,1500,1510,1430,1450,1410,1410,1420,1460,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cuba,CUB,9647.16,9328.2,9745.14,9534.87,9300.55,9236.91,8999.62,8936.28,8937.84,8730.09,8430.32,8756.58,8492.18,8626.53,8494.66,8504.26,8347.66,8279.62,8507.73,9100,8980,9100,8390,8950,8580,9060,8920,8830,8410,8280,8060,8110,8230,7790,7170,7400,7410,7620,8180,7990,8280,8240,8250,8160,7650,7820,7410,7490,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Curacao,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Cyprus,CYP,216.43,220.4,225.1,207.55,113.16,119.41,134.68,147.62,146.86,152.75,160.54,169.84,180.92,194.12,203.16,202.68,209.7,213.5,216.78,150,150,150,160,160,170,170,170,170,170,180,190,210,200,190,180,180,180,180,180,180,180,180,170,170,160,170,180,190,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Czech Republic,CZE,6814.98,7027.27,7266.76,7449.79,7541.74,7508.68,7685.43,7911.28,8104.49,8186.84,8319.42,8384.58,8482.89,8586.36,8506.89,8474.89,8560.93,8627.7,8798.73,7740,7400,6600,5760,5000,4720,4600,4340,4030,3930,3720,3690,3510,3400,3280,3200,3140,3160,3130,3010,2950,2920,2910,2920,2950,3000,3020,3010,3010,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Denmark,DNK,5903.01,6098.44,6226.13,6300.31,6278.67,6341.74,6397.2,6540.99,6553.88,6529.19,6409.06,6288.72,6305.25,6045.05,5903.59,5772.31,5616.57,5436.43,5431.97,6850,6900,6890,7000,6840,6850,6820,6770,6820,6530,6550,6730,6580,6480,6370,6270,6150,6260,6090,5990,6220,6160,6140,6090,6020,6040,6060,6010,6090,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Djibouti,DJI,122.39,124.86,126.26,132.65,143.26,146.83,168.48,177.8,178.89,192.25,188.04,188.02,206.44,217.84,231.1,238.23,252.4,268.24,280.77,360,360,360,370,380,410,430,430,440,460,460,460,460,460,470,470,460,460,460,460,460,460,470,470,470,470,470,470,470,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Dominica,DMA,5.71,6.23,6.75,7.26,7.86,8.47,9.05,9.62,10.19,10.76,11.18,11.62,11.97,12.59,13.77,15.03,18.25,18.64,20.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Dominican Republic,DOM,2763.09,2770.53,2840.09,3251.53,3526.75,3833.13,3788.76,3560.64,3742.18,3773.91,3551.45,3723.6,3977.77,3961.42,3903.81,3879.4,4111.61,4098.1,4332.06,4230,4480,4240,4450,4380,4450,4650,4730,4820,4380,4200,4490,4660,4540,5000,4770,4820,5460,5610,5850,5950,5990,5970,6000,6020,6000,6060,6150,6220,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Ecuador,ECU,3774.9,4171.29,4183.85,4448.54,4735.76,4884.96,4773.61,4626.28,4972.18,5286.66,5426.77,5553.37,5314.03,5994.95,6195.78,6696.12,7138.13,7231.45,7253.92,8660,8590,9400,9850,10220,10360,10640,11130,10240,10440,9120,9810,10110,9980,10490,10060,10070,9770,9770,10460,10580,10400,10360,10380,9280,8610,8570,8570,8050,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Egypt, Arab Rep.",EGY,10476.21,10493.46,9765.81,9973.62,9921.75,9972.34,9732.75,9751.75,9578.78,9187.73,9123.11,9484.14,9321.97,9346.97,9067.9,9380.42,9527.23,9415.46,9941.91,11270,11980,12490,12760,13000,13140,13400,14100,13210,14640,15100,14760,15940,16040,16360,16350,16940,17630,17820,15810,14880,16110,16730,16090,15990,15380,15570,14770,15050,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,El Salvador,SLV,1360.2,1403.45,1260.58,1311.12,1340.86,1424.9,1597.97,1678.64,1727.72,1543.96,1400.29,1229.63,1190.85,1212.91,1284.26,1351,1404.54,1483.14,1532.95,1950,2000,2020,1930,2020,1800,2050,1880,1710,1840,1710,1960,2090,2000,2010,2010,2100,2190,2230,2130,1980,1670,1820,1470,1690,1650,1520,1460,1450,,
